url,place_name,place_score,num_reviews,user_number_reviews,user_number_photos,time,score,text
"https://www.google.com/maps/place/Markward+Playground/@39.9488339,-75.1819837,17z/data=!4m7!3m6!1s0x89c6c646a3ad37fb:0xad138f611b1d3993!8m2!3d39.9488339!4d-75.1819837!9m1!1b1",Markward Playground,4.6,197,39,,2 years ago,5,"Love   the fact that the playing apparatus is under trees. I like that I don't have to worry about their skin and the sun. It has two areas, one for the medium sized kids (roughly 3 and up) and one for little tykes (3 and under). There is a dog park nearby that can be viewed from the ground or the ramp leading to the river walkway. The kids found this just as exciting as the playground.   Major breakdowns when it was time to leave.  "
"https://www.google.com/maps/place/Markward+Playground/@39.9488339,-75.1819837,17z/data=!4m7!3m6!1s0x89c6c646a3ad37fb:0xad138f611b1d3993!8m2!3d39.9488339!4d-75.1819837!9m1!1b1",Markward Playground,4.6,197,30,,2 years ago,5,"Fun, diverse park. A true Philly gem with access to a playground, water view, running trail, dog park and bike trails. Perfect for everything from jogging, bike riding, a day with kids, a day with the dog to just relaxing on a bench and watching the sunset. Safe atmosphere."
"https://www.google.com/maps/place/Markward+Playground/@39.9488339,-75.1819837,17z/data=!4m7!3m6!1s0x89c6c646a3ad37fb:0xad138f611b1d3993!8m2!3d39.9488339!4d-75.1819837!9m1!1b1",Markward Playground,4.6,197,20,,2 years ago,4,It's a nice playground. Kids had fun. The only thing missing was restroom. Although there was a restroom but it was locked for some reason
"https://www.google.com/maps/place/Markward+Playground/@39.9488339,-75.1819837,17z/data=!4m7!3m6!1s0x89c6c646a3ad37fb:0xad138f611b1d3993!8m2!3d39.9488339!4d-75.1819837!9m1!1b1",Markward Playground,4.6,197,31,,a year ago,5,"In my opinion this is one of the best parks. They have a dog park, Basketball and tennis courts"
"https://www.google.com/maps/place/Markward+Playground/@39.9488339,-75.1819837,17z/data=!4m7!3m6!1s0x89c6c646a3ad37fb:0xad138f611b1d3993!8m2!3d39.9488339!4d-75.1819837!9m1!1b1",Markward Playground,4.6,197,31,,2 years ago,5,"My daughter loves playing at Markward playground. There are two sets of playground equipment, one sized for little kids (around 3 and under) and one for bigger kids. The playground can be crowded on nice days, and the restrooms are closed on Sunday and after 1pm on Saturday."
"https://www.google.com/maps/place/Markward+Playground/@39.9488339,-75.1819837,17z/data=!4m7!3m6!1s0x89c6c646a3ad37fb:0xad138f611b1d3993!8m2!3d39.9488339!4d-75.1819837!9m1!1b1",Markward Playground,4.6,197,100,,a year ago,5,A wonderful after school program. Lots of things for the children to do and to play and exercise
"https://www.google.com/maps/place/Markward+Playground/@39.9488339,-75.1819837,17z/data=!4m7!3m6!1s0x89c6c646a3ad37fb:0xad138f611b1d3993!8m2!3d39.9488339!4d-75.1819837!9m1!1b1",Markward Playground,4.6,197,88,,a year ago,5,"Cute little park for kids, also have court for tennis and b ball.    .   ."
"https://www.google.com/maps/place/Markward+Playground/@39.9488339,-75.1819837,17z/data=!4m7!3m6!1s0x89c6c646a3ad37fb:0xad138f611b1d3993!8m2!3d39.9488339!4d-75.1819837!9m1!1b1",Markward Playground,4.6,197,32,32,a year ago,4,"Good park, lots of space for kids."
"https://www.google.com/maps/place/Markward+Playground/@39.9488339,-75.1819837,17z/data=!4m7!3m6!1s0x89c6c646a3ad37fb:0xad138f611b1d3993!8m2!3d39.9488339!4d-75.1819837!9m1!1b1",Markward Playground,4.6,197,34,,2 years ago,5,Great rec center in the city great place for little ones basketball courts tennis courts and a great after-school program
"https://www.google.com/maps/place/Markward+Playground/@39.9488339,-75.1819837,17z/data=!4m7!3m6!1s0x89c6c646a3ad37fb:0xad138f611b1d3993!8m2!3d39.9488339!4d-75.1819837!9m1!1b1",Markward Playground,4.6,197,19,19,2 years ago,5,We used the toddler playground. It was safe and clean. Kept my toddler busy for an hour.
"https://www.google.com/maps/place/Markward+Playground/@39.9488339,-75.1819837,17z/data=!4m7!3m6!1s0x89c6c646a3ad37fb:0xad138f611b1d3993!8m2!3d39.9488339!4d-75.1819837!9m1!1b1",Markward Playground,4.6,197,53,,a year ago,5,My children love this park
"https://www.google.com/maps/place/Markward+Playground/@39.9488339,-75.1819837,17z/data=!4m7!3m6!1s0x89c6c646a3ad37fb:0xad138f611b1d3993!8m2!3d39.9488339!4d-75.1819837!9m1!1b1",Markward Playground,4.6,197,,,a year ago,5,Clean nice place to take the kids to play.
"https://www.google.com/maps/place/Markward+Playground/@39.9488339,-75.1819837,17z/data=!4m7!3m6!1s0x89c6c646a3ad37fb:0xad138f611b1d3993!8m2!3d39.9488339!4d-75.1819837!9m1!1b1",Markward Playground,4.6,197,50,50,2 years ago,5,Lots of great stuff for younger kids. Ours raves about it!
"https://www.google.com/maps/place/Markward+Playground/@39.9488339,-75.1819837,17z/data=!4m7!3m6!1s0x89c6c646a3ad37fb:0xad138f611b1d3993!8m2!3d39.9488339!4d-75.1819837!9m1!1b1",Markward Playground,4.6,197,188,,2 years ago,5,"Great park, basketball, different areas to play for varied she's"
"https://www.google.com/maps/place/Markward+Playground/@39.9488339,-75.1819837,17z/data=!4m7!3m6!1s0x89c6c646a3ad37fb:0xad138f611b1d3993!8m2!3d39.9488339!4d-75.1819837!9m1!1b1",Markward Playground,4.6,197,1,1,8 months ago,2,My son loves it here! But Beware of the neighbors they will call parking authority on you. And they are very sneaky. They will hide in the dark just to give u a ticket!!
"https://www.google.com/maps/place/Markward+Playground/@39.9488339,-75.1819837,17z/data=!4m7!3m6!1s0x89c6c646a3ad37fb:0xad138f611b1d3993!8m2!3d39.9488339!4d-75.1819837!9m1!1b1",Markward Playground,4.6,197,33,33,2 years ago,5,"Favorite park for my daughter, it's safe and clean."
"https://www.google.com/maps/place/Markward+Playground/@39.9488339,-75.1819837,17z/data=!4m7!3m6!1s0x89c6c646a3ad37fb:0xad138f611b1d3993!8m2!3d39.9488339!4d-75.1819837!9m1!1b1",Markward Playground,4.6,197,,,a year ago,5,I think they went there for memorial service
"https://www.google.com/maps/place/Markward+Playground/@39.9488339,-75.1819837,17z/data=!4m7!3m6!1s0x89c6c646a3ad37fb:0xad138f611b1d3993!8m2!3d39.9488339!4d-75.1819837!9m1!1b1",Markward Playground,4.6,197,20,20,2 years ago,5,This playground is very clean it s very relaxing to bring your kid here and hang out for the day
"https://www.google.com/maps/place/Markward+Playground/@39.9488339,-75.1819837,17z/data=!4m7!3m6!1s0x89c6c646a3ad37fb:0xad138f611b1d3993!8m2!3d39.9488339!4d-75.1819837!9m1!1b1",Markward Playground,4.6,197,33,,2 years ago,5,Love it
